"","date","cityid","gps_retail_and_recreation","gps_grocery_and_pharmacy","gps_parks","gps_transit_stations","gps_workplaces","gps_residential","gps_away_from_home"
"235",2020-02-28,23,0.0714,0.0157,0.194,0.02,0.0343,-0.00714,0.00983
"236",2020-02-28,24,0.0771,0.0271,0.33,0.0471,0.0214,-0.00857,0.0108
"237",2020-02-28,25,0.0571,0.0157,0.253,0.0471,0.0329,-0.00429,0.0071
"238",2020-02-28,26,0.0743,0.0443,0.104,0.03,0.0243,-0.00571,0.00402
"239",2020-02-28,27,0.0457,0.12,0.236,0.0429,0.0157,-0.00571,0.00904
"240",2020-02-28,28,-0.00143,0.0443,-0.00429,0.02,0.03,-0.00286,0.0014
"241",2020-02-28,29,0.0214,-0.0271,0.0757,0.0486,0.02,-0.00286,0.0051
"242",2020-02-28,30,0.0743,0.0143,0.16,0.07,0.0243,-0.00429,0.00705
"243",2020-02-28,31,0.0871,0.0314,0.176,0.04,0.0329,-0.00571,0.0109
"244",2020-02-28,32,0.0714,0.0614,0.0186,0.0343,0.02,-0.00571,0.00347
"245",2020-02-28,33,0.0329,0.0671,0.0357,0.00857,0.00714,-0.00286,0.00232
"246",2020-02-28,34,0.0843,0.0314,0.223,0.0386,0.0157,-0.00714,0.00871
"247",2020-02-28,35,0.05,0.0229,0.299,0.03,0.02,-0.00857,0.0112
"248",2020-02-28,36,0.0457,-0.00857,0.12,0.0343,0.0129,-0.00571,0.00743
"249",2020-02-28,37,0.0886,0.0286,0.163,0.0657,0.0586,-0.0129,0.0164
"250",2020-02-28,38,0.0229,0.0129,-0.00857,-0.01,0.02,-0.00143,0.00138
"251",2020-02-28,39,0.0314,-0.0114,0.237,0.0529,0.03,-0.01,0.0105
"252",2020-02-28,40,0.0857,0.0914,0.354,0.0643,0.0286,-0.0129,0.0183
"253",2020-02-28,41,0.0214,0.0286,0.186,0.0357,0.0314,-0.00714,0.00984
"254",2020-02-28,42,0.0514,0.0214,0.137,0.0843,0.0214,-0.00857,0.013
"255",2020-02-28,43,0.0486,0.0229,0.05,0.0529,0.0214,-0.00429,0.00582
"256",2020-02-28,44,0.457,0.43,0.639,0.991,-0.19,0.0157,-0.00657
"257",2020-02-28,45,0.0914,0.0243,0.0957,0.0386,0.0243,-0.00714,0.00699
"258",2020-02-28,46,0.0343,-0.00429,0.257,0.0571,0.0186,-0.00143,0.00566
"259",2020-02-28,47,0.0843,0.0271,0.239,0.0429,0.0157,-0.00571,0.00621
"260",2020-02-28,48,0.0171,0.0186,0.07,-0.00143,0.0129,-0.00143,0.0028
"261",2020-02-28,49,0.0771,0.0829,0.546,0.0514,0.02,-0.0114,0.0144
"262",2020-02-28,50,0.0943,0.109,0.276,0.0571,0.03,-0.00857,0.0104
"263",2020-02-28,51,0.05,0.0114,0.131,0.0229,0.0271,-0.00571,0.00733
"264",2020-02-28,52,0.0257,0.0171,-0.0943,2.66e-10,0.0229,0,-0.00442
"265",2020-02-28,53,0.06,0.0271,0.0714,0.0857,0.0186,-0.00571,0.00484
